id,Solids,Chloramines,Sulfate,pIndex,Volume,Relative Volume,Grid,Grid Denominator,Max Rank
98,0.17384507157467,0.265958915718275,0.3179743712202547,3,0.00016,0.0002297398196542416,0.043478260869565216,23,3
156,0.1222973519497924,0.536458868289599,0.3673341574802004,>15,2e-05,2.87174774567802e-05,0.004032258064516129,248,9
163,0.0654046120007202,0.255490451444392,0.3703465156197719,1,0.00796,0.01142955602779852,0.16666666666666666,6,1
173,0.1356068135770375,0.3020183233332674,0.3006917198021563,1,0.0012,0.0017230486474068118,0.058823529411764705,17,1
191,0.6374133779801064,0.716218754419982,0.1652433264939342,4,0.00162,0.002326115673999196,0.07142857142857142,14,2
208,0.3637410450780142,0.9571840697743924,0.1790571163433568,2,0.00022,0.0003158922520245822,0.058823529411764705,17,2
211,0.5750430125419598,0.993487757946068,0.1454610485876759,3,4e-05,5.74349549135604e-05,0.008547008547008548,117,2
264,0.5206754255785118,1.0,0.1516838701763389,2,0.0,0.0,0.015151515151515152,66,2
276,0.4573204942303261,0.8217641082988036,0.1659631971609728,2,0.0013,0.0018666360346907128,0.07692307692307693,13,2
290,0.3254529961227284,0.7737124050544049,0.2285910621533468,8,0.00016,0.0002297398196542416,0.007142857142857143,140,7
336,0.1954426898500695,0.2058222282848294,0.7331711761351848,3,0.0004,0.000574349549135604,0.0625,16,4
363,0.1700246737679104,0.242153782466203,0.7634419100982166,7,0.00014,0.00020102234219746137,0.016129032258064516,62,7
513,0.1544475087510599,0.4377060335776633,0.2676920836039536,6,0.0002,0.000287174774567802,0.043478260869565216,23,2
590,0.346215216007847,0.3181194466846517,0.2884858407274043,6,0.0002,0.000287174774567802,0.0136986301369863,73,8
591,0.1553605022227908,0.4734365523085399,0.2353533537861285,1,0.00294,0.0042214691861466895,0.038461538461538464,26,1
763,0.058778386139676,0.5155952661569718,0.4481572978177627,3,0.00058,0.0008328068462466258,0.0072992700729927005,137,3
847,0.7267869483220714,0.1870616138790349,0.2560826356909079,4,0.00154,0.002211245764172075,0.0625,16,2
1045,0.5180149306213687,0.5438201111478069,0.2114717067994542,4,0.00076,0.0010912641433576476,0.014084507042253521,71,6
1155,0.5768663321348627,0.3545500311713501,0.2194332542767456,5,0.0003,0.00043076216185170295,0.00510204081632653,196,2
1181,0.9221997195570384,0.2253963523584211,0.0,1,0.01236,0.01774740106829016,0.3333333333333333,3,1
1274,0.1091315354859841,0.7606602382146486,0.3370324311922241,7,2e-05,2.87174774567802e-05,0.012048192771084338,83,3
1371,0.1204387107714309,0.7427748378716006,0.2427653263782088,1,0.00082,0.0011774165757279882,0.04,25,1
1421,0.4354647720731718,0.3515192423688945,0.2241011798214475,2,0.00116,0.0016656136924932516,0.1,10,2
1688,0.4841423113195606,0.6628693408009265,0.2185465734852248,12,6e-05,8.615243237034059e-05,0.005747126436781609,174,8
1759,0.2636381006704548,0.0,0.310900674969389,1,0.10528,0.15116880133249097,0.25,4,1
2126,0.3457612337284851,0.3957488580904921,0.2802757016784574,9,0.0,0.0,0.01,100,10
2139,0.2441191894365802,0.2085348416963751,0.439926746041488,6,0.0003,0.00043076216185170295,0.024390243902439025,41,4
2220,0.0,0.332420340688786,0.5882953248146076,1,0.01596,0.022916547010510595,0.06666666666666667,15,1
2458,0.0545065822212335,0.2912427603064373,0.7462344275733716,3,0.00012,0.00017230486474068118,0.013157894736842105,76,2
