id,intLeft,intRight
884,0.17561424549620067,0.43526020291281386
1437,0.6845007587714274,0.6899828715154863
1550,0.22992921516943704,0.427470203628861
1643,0.49592063452997676,0.5820698344258859
1728,0.6132599521455991,0.6647869247430418
2322,0.5273650629399032,0.5483735490445208
2479,0.5820698344258859,0.788758506497103
2681,0.4450451403629353,0.5235529599283838
2681,0.529722843472354,0.5393175444758787
3669,0.0,0.49592063452997676
3761,0.3181788907007856,0.3232317973314484
4092,0.24759934652018728,0.2590281495269531
4092,0.3085673591563395,0.35150870126448497
4226,0.788758506497103,1.0
